(id_certificado,nro_certificado,fecha_aplicacion,fecha_vencimiento,hora_aplicacion,proximo_tratamiento,estado,id_cliente,created_ad,updated_ad,id_rubro,id_tratamiento,id_vector,superfice,id_drogas,codigo,id_tipo_cliente,observaciones_certificado,id_tecnico),
(18,2774,'1/11/2014','1/2/2015','21:30:00','1/2/2015',1,1208,'12/10/2009','12/10/2009',1,1,1,40,1,250.00,1,NULL,4),
(19,2776,'1/11/2014','1/2/2015','16:00:00','1/2/2015',1,1839,'12/10/2009','12/10/2009',1,1,1,600,1,800.00,2,NULL,5),
(20,2775,'1/11/2014','1/1/2015','14:30:00','1/1/2015',1,1761,'12/10/2009','12/10/2009',1,1,1,300,1,800.00,3,NULL,1),
(21,2777,'1/11/2014','1/2/2015','18:00:00','1/2/2015',1,1814,'12/10/2009','12/10/2009',1,1,1,400,1,500.00,1,NULL,2),
(22,2779,'1/11/2014','1/5/2015','13:00:00','1/5/2015',1,1322,'12/10/2009','12/10/2009',1,1,1,400,1,300.00,2,NULL,3),
(23,2780,'3/11/2014','3/12/2014','15:00:00','3/12/2014',1,1373,'12/10/2009','12/10/2009',1,1,1,500,1,2000.00,3,NULL,4),
(24,2782,'3/11/2014','3/1/2015','11:00:00','3/1/2015',1,453,'12/10/2009','12/10/2009',1,1,1,200,1,450.00,1,NULL,5),
(25,2783,'3/11/2014','3/2/2015','21:30:00','3/2/2015',1,2349,'12/10/2009','12/10/2009',1,1,1,100,1,500.00,2,NULL,1),
(26,2784,'3/11/2014','3/2/2015','13:00:00','3/2/2015',1,1738,'12/10/2009','12/10/2009',1,1,1,300,1,100.00,3,NULL,2),
(27,2785,'3/11/2014','3/2/2015','13:00:00','3/2/2015',1,568,'12/10/2009','12/10/2009',1,1,1,30,1,100.00,1,NULL,3),
(28,2786,'3/11/2014','3/2/2015','13:00:00','3/2/2015',1,1472,'12/10/2009','12/10/2009',1,1,1,30,1,100.00,2,NULL,4),
(29,2787,'3/11/2014','3/2/2015','13:00:00','3/2/2015',1,2504,'12/10/2009','12/10/2009',1,1,1,H/300,1,100.00,3,NULL,5),
(30,2788,'3/11/2014','3/2/2015','0:00:00','3/2/2015',1,1174,'12/10/2009','12/10/2009',1,1,1,H/300,1,300.00,1,NULL,1),
(31,2789,'3/11/2014','3/2/2015','13:00:00','3/2/2015',1,1388,'12/10/2009','12/10/2009',1,1,1,H/300,1,100.00,2,NULL,2),
(32,3307,'2/11/2014','2/1/2015','13:00:00','2/1/2015',1,1910,'12/10/2009','12/10/2009',1,1,1,H/300,1,700.00,3,NULL,3),
(33,2791,'3/11/2014','3/12/2014','0:00:00','3/12/2014',1,1907,'12/10/2009','12/10/2009',1,1,1,H/300,1,1500.00,1,NULL,4),
(34,2792,'3/11/2014','3/12/2014','0:00:00','3/12/2014',1,1909,'12/10/2009','12/10/2009',1,1,1,H/300,1,700.00,2,NULL,5),
(35,2793,'3/11/2014','3/12/2014','13:00:00','3/12/2014',1,2503,'12/10/2009','12/10/2009',1,1,1,H/300,1,150.00,3,NULL,1),
(36,2795,'3/11/2014','3/1/2015','14:00:00','3/1/2015',1,1086,'12/10/2009','12/10/2009',1,1,1,H/300,1,450.00,1,NULL,2),
(37,2796,'3/11/2014','3/1/2015','14:00:00','3/1/2015',1,824,'12/10/2009','12/10/2009',1,1,1,H/300,1,350.00,2,NULL,3),
(38,2797,'4/11/2014','4/2/2015','13:00:00','4/2/2015',1,252,'12/10/2009','12/10/2009',1,1,1,H/300,1,0.00,3,NULL,4),
(39,2798,'4/11/2014','4/2/2015','11:00:00','4/2/2015',1,2654,'12/10/2009','12/10/2009',1,1,1,H/300,1,300.00,1,NULL,5),
(40,2799,'4/11/2014','4/2/2015','15:00:00','4/2/2015',1,2637,'12/10/2009','12/10/2009',1,1,1,H/300,1,330.00,2,NULL,1),
(41,2800,'4/11/2014','4/1/2015','19:00:00','4/1/2015',1,2456,'12/10/2009','12/10/2009',1,1,1,H/300,1,300.00,1,NULL,2),
(42,2801,'4/11/2014','4/1/2015','20:00:00','4/1/2015',1,2680,'12/10/2009','12/10/2009',1,1,1,H/300,1,500.00,2,NULL,3),
(43,2802,'4/11/2014','4/2/2015','13:00:00','4/2/2015',1,1161,'12/10/2009','12/10/2009',1,1,1,H/300,1,100.00,3,NULL,4);
